sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	1314-dihydro-PGF2a	5.263	1675	d4-PGF2a	5.207	167073
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	23-dinor-11b-PGF2a	4.009	1329	d4-PGF2a	5.207	167073
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	23-dinor-8-iso-PGF2a	3.414	907	d4-8-iso-PGF2a	4.639	39392
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	5-iPF2a-IV	5.262	1690	d11--5-iPF2a-IV	5.193	88180
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-1314-dihydro-PGF2a	4.673	437	d4-8-iso-PGF2a	4.639	39392
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-15-keto-PGE2	4.371	3303	d4-8-iso-PGE2	4.7	325908
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-15-keto-PGF2a	4.361	2962	d4-8-iso-PGF2a	4.639	39392
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-15-keto-PGF2b	4.221	1285	d4-8-iso-PGF2a	4.639	39392
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-15R-PGF2a	4.557	970	d4-8-iso-PGF2a	4.639	39392
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-PGA1	5.703	64432	d4-PGA2	5.782	102629
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-PGA2	5.672	1218	d4-PGA2	5.782	102629
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-PGE1	4.857	2285	d4-PGE1	5.081	286720
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-PGE2	4.719	3276	d4-8-iso-PGE2	4.7	325908
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-PGF1a	4.603	12635	d9-8-iso-PGF1a	4.547	141002
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-PGF2a	4.557	970	d4-8-iso-PGF2a	4.639	39392
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	8-iso-PGF3a	3.683	13967	d4-8-iso-PGF2a	4.639	39392
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	812-iPF2a-IV	6.015	2586	d11-812-iPF2a-IV	5.993	27280
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	CUDA	6.409	6227462	d11-812-iPF2a-IV	5.993	27280
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	LPA-C140	7.02	32272	LPA-C170	7.442	149184
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	LPA-C160	7.314	771997	LPA-C170	7.442	149184
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	LPA-C161	7.104	235517	LPA-C170	7.442	149184
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	LPA-C170	7.442	149184	LPA-C170	7.442	149184
pr01_example_aac_108	pr01_example_aac_108_a1	sample	1	a	1	1	2015-03-05 19:56:00	LPA-C180	7.56	72721	LPA-C170	7.442	149184
